"Concept Id","Name","Description","Synonyms","Answers","Set Members","Class","Datatype","Changed By","Creator"
1440,"Other cerebrovascular syphilis","Other cerebrovascular syphilis","Other cerebrovascular syphilis
A52.05",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1441,"Other syphilitic heart involvement","Other syphilitic heart involvement","Other syphilitic heart involvement
A52.06",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1442,"Other cardiovascular syphilis","Other cardiovascular syphilis","Other cardiovascular syphilis
A52.09",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1443,"Symptomatic neurosyphilis, unspecified","Symptomatic neurosyphilis, unspecified","A52.10
Symptomatic neurosyphilis, unspecified",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1444,"Tabes dorsalis","Tabes dorsalis","A52.11
Tabes dorsalis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1445,"Other cerebrospinal syphilis","Other cerebrospinal syphilis","Other cerebrospinal syphilis
A52.12",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1446,"Late syphilitic meningitis","Late syphilitic meningitis","A52.13
Late syphilitic meningitis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1447,"Late syphilitic encephalitis","Late syphilitic encephalitis","Late syphilitic encephalitis
A52.14",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1448,"Late syphilitic neuropathy","Late syphilitic neuropathy","A52.15
Late syphilitic neuropathy",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1449,"Charc��t's arthropathy (tabetic)","Charc��t's arthropathy (tabetic)","A52.16
Charc��t's arthropathy (tabetic)",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1450,"General paresis","General paresis","A52.17
General paresis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1451,"Other symptomatic neurosyphilis","Other symptomatic neurosyphilis","Other symptomatic neurosyphilis
A52.19",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1452,"Asymptomatic neurosyphilis","Asymptomatic neurosyphilis","A52.2
Asymptomatic neurosyphilis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1453,"Neurosyphilis, unspecified","Neurosyphilis, unspecified","A52.3
Neurosyphilis, unspecified",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1454,"Late syphilitic oculopathy","Late syphilitic oculopathy","Late syphilitic oculopathy
A52.71",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1455,"Syphilis of lung and bronchus","Syphilis of lung and bronchus","A52.72
Syphilis of lung and bronchus",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1456,"Symptomatic late syphilis of other respiratory organs","Symptomatic late syphilis of other respiratory organs","Symptomatic late syphilis of other respiratory organs
A52.73",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1457,"Syphilis of liver and other viscera","Syphilis of liver and other viscera","Syphilis of liver and other viscera
A52.74",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1458,"Syphilis of kidney and ureter","Syphilis of kidney and ureter","Syphilis of kidney and ureter
A52.75",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1459,"Other genitourinary symptomatic late syphilis","Other genitourinary symptomatic late syphilis","A52.76
Other genitourinary symptomatic late syphilis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1460,"Syphilis of bone and joint","Syphilis of bone and joint","Syphilis of bone and joint
A52.77",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1461,"Syphilis of other musculoskeletal tissue","Syphilis of other musculoskeletal tissue","A52.78
Syphilis of other musculoskeletal tissue",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1462,"Other symptomatic late syphilis","Other symptomatic late syphilis","A52.79
Other symptomatic late syphilis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1463,"Late syphilis, latent","Late syphilis, latent","A52.8
Late syphilis, latent",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1464,"Late syphilis, unspecified","Late syphilis, unspecified","Late syphilis, unspecified
A52.9",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1465,"Latent syphilis, unspecified as early or late","Latent syphilis, unspecified as early or late","Latent syphilis, unspecified as early or late
A53.0",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1467,"Syphilis, unspecified","Syphilis, unspecified","A53.9
Syphilis, unspecified",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1468,"Gonococcal infection of lower genitourinary tract, unspecified","Gonococcal infection of lower genitourinary tract, unspecified","A54.00
Gonococcal infection of lower genitourinary tract, unspecified",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1469,"Gonococcal cystitis and urethritis, unspecified","Gonococcal cystitis and urethritis, unspecified","A54.01
Gonococcal cystitis and urethritis, unspecified",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1470,"Gonococcal vulvovaginitis, unspecified","Gonococcal vulvovaginitis, unspecified","A54.02
Gonococcal vulvovaginitis, unspecified",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1471,"Gonococcal cervicitis, unspecified","Gonococcal cervicitis, unspecified","A54.03
Gonococcal cervicitis, unspecified",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1472,"Other gonococcal infection of lower genitourinary tract","Other gonococcal infection of lower genitourinary tract","Other gonococcal infection of lower genitourinary tract
A54.09",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1473,"Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess","Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess","Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A54.1",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1474,"Gonococcal infection of kidney and ureter","Gonococcal infection of kidney and ureter","A54.21
Gonococcal infection of kidney and ureter",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1475,"Gonococcal prostatitis","Gonococcal prostatitis","Gonococcal prostatitis
A54.22",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1476,"Gonococcal infection of other male genital organs","Gonococcal infection of other male genital organs","Gonococcal infection of other male genital organs
A54.23",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1477,"Gonococcal female pelvic inflammatory disease","Gonococcal female pelvic inflammatory disease","Gonococcal female pelvic inflammatory disease
A54.24",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1478,"Other gonococcal genitourinary infections","Other gonococcal genitourinary infections","Other gonococcal genitourinary infections
A54.29",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1479,"Gonococcal infection of eye, unspecified","Gonococcal infection of eye, unspecified","Gonococcal infection of eye, unspecified
A54.30",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1480,"Gonococcal conjunctivitis","Gonococcal conjunctivitis","A54.31
Gonococcal conjunctivitis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1481,"Gonococcal iridocyclitis","Gonococcal iridocyclitis","Gonococcal iridocyclitis
A54.32",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1482,"Gonococcal keratitis","Gonococcal keratitis","A54.33
Gonococcal keratitis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1483,"Other gonococcal eye infection","Other gonococcal eye infection","Other gonococcal eye infection
A54.39",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1484,"Gonococcal infection of musculoskeletal system, unspecified","Gonococcal infection of musculoskeletal system, unspecified","Gonococcal infection of musculoskeletal system, unspecified
A54.40",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1485,"Gonococcal spondylopathy","Gonococcal spondylopathy","A54.41
Gonococcal spondylopathy",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1486,"Gonococcal arthritis","Gonococcal arthritis","A54.42
Gonococcal arthritis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1487,"Gonococcal osteomyelitis","Gonococcal osteomyelitis","Gonococcal osteomyelitis
A54.43",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1488,"Gonococcal infection of other musculoskeletal tissue","Gonococcal infection of other musculoskeletal tissue","Gonococcal infection of other musculoskeletal tissue
A54.49",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1489,"Gonococcal pharyngitis","Gonococcal pharyngitis","A54.5
Gonococcal pharyngitis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1490,"Gonococcal infection of anus and rectum","Gonococcal infection of anus and rectum","Gonococcal infection of anus and rectum
A54.6",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1491,"Gonococcal meningitis","Gonococcal meningitis","Gonococcal meningitis
A54.81",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1492,"Gonococcal brain abscess","Gonococcal brain abscess","A54.82
Gonococcal brain abscess",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1493,"Gonococcal heart infection","Gonococcal heart infection","Gonococcal heart infection
A54.83",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1494,"Gonococcal pneumonia","Gonococcal pneumonia","A54.84
Gonococcal pneumonia",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1495,"Gonococcal peritonitis","Gonococcal peritonitis","A54.85
Gonococcal peritonitis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1496,"Gonococcal sepsis","Gonococcal sepsis","A54.86
Gonococcal sepsis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1497,"Other gonococcal infections","Other gonococcal infections","Other gonococcal infections
A54.89",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1498,"Gonococcal infection, unspecified","Gonococcal infection, unspecified","A54.9
Gonococcal infection, unspecified",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1499,"Chlamydial lymphogranuloma (venereum)","Chlamydial lymphogranuloma (venereum)","Chlamydial lymphogranuloma (venereum)
A55",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1500,"Chlamydial infection of lower genitourinary tract, unspecified","Chlamydial infection of lower genitourinary tract, unspecified","Chlamydial infection of lower genitourinary tract, unspecified
A56.00",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1501,"Chlamydial cystitis and urethritis","Chlamydial cystitis and urethritis","Chlamydial cystitis and urethritis
A56.01",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1502,"Chlamydial vulvovaginitis","Chlamydial vulvovaginitis","Chlamydial vulvovaginitis
A56.02",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1503,"Other chlamydial infection of lower genitourinary tract","Other chlamydial infection of lower genitourinary tract","A56.09
Other chlamydial infection of lower genitourinary tract",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1504,"Chlamydial female pelvic inflammatory disease","Chlamydial female pelvic inflammatory disease","Chlamydial female pelvic inflammatory disease
A56.11",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1505,"Other chlamydial genitourinary infection","Other chlamydial genitourinary infection","Other chlamydial genitourinary infection
A56.19",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1506,"Chlamydial infection of genitourinary tract, unspecified","Chlamydial infection of genitourinary tract, unspecified","Chlamydial infection of genitourinary tract, unspecified
A56.2",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1507,"Chlamydial infection of anus and rectum","Chlamydial infection of anus and rectum","A56.3
Chlamydial infection of anus and rectum",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1508,"Chlamydial infection of pharynx","Chlamydial infection of pharynx","Chlamydial infection of pharynx
A56.4",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1509,"Sexually transmitted chlamydial infection of other sites","Sexually transmitted chlamydial infection of other sites","A56.8
Sexually transmitted chlamydial infection of other sites",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1510,"Chancroid","Chancroid","A57
Chancroid",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1511,"Granuloma inguinale","Granuloma inguinale","Granuloma inguinale
A58",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1512,"Urogenital trichomoniasis, unspecified","Urogenital trichomoniasis, unspecified","A59.00
Urogenital trichomoniasis, unspecified",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1513,"Trichomonal vulvovaginitis","Trichomonal vulvovaginitis","Trichomonal vulvovaginitis
A59.01",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1514,"Trichomonal prostatitis","Trichomonal prostatitis","Trichomonal prostatitis
A59.02",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1515,"Trichomonal cystitis and urethritis","Trichomonal cystitis and urethritis","Trichomonal cystitis and urethritis
A59.03",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1516,"Other urogenital trichomoniasis","Other urogenital trichomoniasis","Other urogenital trichomoniasis
A59.09",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1517,"Trichomoniasis of other sites","Trichomoniasis of other sites","Trichomoniasis of other sites
A59.8",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1518,"Trichomoniasis, unspecified","Trichomoniasis, unspecified","A59.9
Trichomoniasis, unspecified",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1519,"Herpesviral infection of urogenital system, unspecified","Herpesviral infection of urogenital system, unspecified","A60.00
Herpesviral infection of urogenital system, unspecified",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1520,"Herpesviral infection of penis","Herpesviral infection of penis","A60.01
Herpesviral infection of penis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1521,"Herpesviral infection of other male genital organs","Herpesviral infection of other male genital organs","Herpesviral infection of other male genital organs
A60.02",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1522,"Herpesviral cervicitis","Herpesviral cervicitis","A60.03
Herpesviral cervicitis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1523,"Herpesviral vulvovaginitis","Herpesviral vulvovaginitis","A60.04
Herpesviral vulvovaginitis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1524,"Herpesviral infection of other urogenital tract","Herpesviral infection of other urogenital tract","Herpesviral infection of other urogenital tract
A60.09",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1525,"Herpesviral infection of perianal skin and rectum","Herpesviral infection of perianal skin and rectum","A60.1
Herpesviral infection of perianal skin and rectum",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1526,"Anogenital herpesviral infection, unspecified","Anogenital herpesviral infection, unspecified","A60.9
Anogenital herpesviral infection, unspecified",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1527,"Anogenital (venereal) warts","Anogenital (venereal) warts","Anogenital (venereal) warts
A63.0",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1528,"Other specified predominantly sexually transmitted diseases","Other specified predominantly sexually transmitted diseases","A63.8
Other specified predominantly sexually transmitted diseases",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1529,"Unspecified sexually transmitted disease","Unspecified sexually transmitted disease","Unspecified sexually transmitted disease
A64",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1530,"Nonvenereal syphilis","Nonvenereal syphilis","A65
Nonvenereal syphilis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1531,"Initial lesions of yaws","Initial lesions of yaws","Initial lesions of yaws
A66.0",,,"Symptom/Finding","N/A","Aldren Bautista Gonzales","Aldren Bautista Gonzales"
1532,"Multiple papillomata and wet crab yaws","Multiple papillomata and wet crab yaws","A66.1
Multiple papillomata and wet crab yaws",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1533,"Other early skin lesions of yaws","Other early skin lesions of yaws","A66.2
Other early skin lesions of yaws",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1534,"Hyperkeratosis of yaws","Hyperkeratosis of yaws","Hyperkeratosis of yaws
A66.3",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1535,"Gummata and ulcers of yaws","Gummata and ulcers of yaws","A66.4
Gummata and ulcers of yaws",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1536,"Gangosa","Gangosa","Gangosa
A66.5",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1537,"Bone and joint lesions of yaws","Bone and joint lesions of yaws","A66.6
Bone and joint lesions of yaws",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1538,"Other manifestations of yaws","Other manifestations of yaws","A66.7
Other manifestations of yaws",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1539,"Latent yaws","Latent yaws","A66.8
Latent yaws",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1540,"Yaws, unspecified","Yaws, unspecified","Yaws, unspecified
A66.9",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1541,"Primary lesions of pinta","Primary lesions of pinta","Primary lesions of pinta
A67.0",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1542,"Intermediate lesions of pinta","Intermediate lesions of pinta","A67.1
Intermediate lesions of pinta",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1543,"Late lesions of pinta","Late lesions of pinta","Late lesions of pinta
A67.2",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1544,"Mixed lesions of pinta","Mixed lesions of pinta","Mixed lesions of pinta
A67.3",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1545,"Pinta, unspecified","Pinta, unspecified","Pinta, unspecified
A67.9",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1546,"Louse-borne relapsing fever","Louse-borne relapsing fever","A68.0
Louse-borne relapsing fever",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1547,"Tick-borne relapsing fever","Tick-borne relapsing fever","Tick-borne relapsing fever
A68.1",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1548,"Relapsing fever, unspecified","Relapsing fever, unspecified","Relapsing fever, unspecified
A68.9",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1549,"Necrotizing ulcerative stomatitis","Necrotizing ulcerative stomatitis","A69.0
Necrotizing ulcerative stomatitis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1550,"Other Vincent's infections","Other Vincent's infections","Other Vincent's infections
A69.1",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1551,"Lyme disease, unspecified","Lyme disease, unspecified","A69.20
Lyme disease, unspecified",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1552,"Meningitis due to Lyme disease","Meningitis due to Lyme disease","A69.21
Meningitis due to Lyme disease",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1553,"Other neurologic disorders in Lyme disease","Other neurologic disorders in Lyme disease","Other neurologic disorders in Lyme disease
A69.22",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1554,"Arthritis due to Lyme disease","Arthritis due to Lyme disease","Arthritis due to Lyme disease
A69.23",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1555,"Other conditions associated with Lyme disease","Other conditions associated with Lyme disease","Other conditions associated with Lyme disease
A69.29",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1556,"Other specified spirochetal infections","Other specified spirochetal infections","A69.8
Other specified spirochetal infections",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1557,"Spirochetal infection, unspecified","Spirochetal infection, unspecified","A69.9
Spirochetal infection, unspecified",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1558,"Chlamydia psittaci infections","Chlamydia psittaci infections","Chlamydia psittaci infections
A70",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1559,"Initial stage of trachoma","Initial stage of trachoma","A71.0
Initial stage of trachoma",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1560,"Active stage of trachoma","Active stage of trachoma","Active stage of trachoma
A71.1",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1561,"Trachoma, unspecified","Trachoma, unspecified","Trachoma, unspecified
A71.9",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1562,"Chlamydial conjunctivitis","Chlamydial conjunctivitis","A74.0
Chlamydial conjunctivitis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1563,"Chlamydial peritonitis","Chlamydial peritonitis","A74.81
Chlamydial peritonitis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1564,"Other chlamydial diseases","Other chlamydial diseases","Other chlamydial diseases
A74.89",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1565,"Chlamydial infection, unspecified","Chlamydial infection, unspecified","Chlamydial infection, unspecified
A74.9",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1566,"Epidemic louse-borne typhus fever due to Rickettsia prowazekii","Epidemic louse-borne typhus fever due to Rickettsia prowazekii","A75.0
Epidemic louse-borne typhus fever due to Rickettsia prowazekii",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1567,"Recrudescent typhus [Brill's disease]","Recrudescent typhus [Brill's disease]","Recrudescent typhus [Brill's disease]
A75.1",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1568,"Typhus fever due to Rickettsia typhi","Typhus fever due to Rickettsia typhi","A75.2
Typhus fever due to Rickettsia typhi",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1569,"Typhus fever due to Rickettsia tsutsugamushi","Typhus fever due to Rickettsia tsutsugamushi","Typhus fever due to Rickettsia tsutsugamushi
A75.3",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1570,"Typhus fever, unspecified","Typhus fever, unspecified","Typhus fever, unspecified
A75.9",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1571,"Spotted fever due to Rickettsia rickettsii","Spotted fever due to Rickettsia rickettsii","A77.0
Spotted fever due to Rickettsia rickettsii",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1572,"Spotted fever due to Rickettsia conorii","Spotted fever due to Rickettsia conorii","Spotted fever due to Rickettsia conorii
A77.1",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1573,"Spotted fever due to Rickettsia siberica","Spotted fever due to Rickettsia siberica","A77.2
Spotted fever due to Rickettsia siberica",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1574,"Spotted fever due to Rickettsia australis","Spotted fever due to Rickettsia australis","A77.3
Spotted fever due to Rickettsia australis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1575,"Ehrlichiosis, unspecified","Ehrlichiosis, unspecified","A77.40
Ehrlichiosis, unspecified",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1576,"Ehrlichiosis chafeensis [E. chafeensis]","Ehrlichiosis chafeensis [E. chafeensis]","A77.41
Ehrlichiosis chafeensis [E. chafeensis]",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1577,"Other ehrlichiosis","Other ehrlichiosis","Other ehrlichiosis
A77.49",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1578,"Other spotted fevers","Other spotted fevers","A77.8
Other spotted fevers",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1579,"Spotted fever, unspecified","Spotted fever, unspecified","Spotted fever, unspecified
A77.9",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1580,"Q fever","Q fever","Q fever
A78",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1581,"Trench fever","Trench fever","Trench fever
A79.0",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1582,"Rickettsialpox due to Rickettsia akari","Rickettsialpox due to Rickettsia akari","Rickettsialpox due to Rickettsia akari
A79.1",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1583,"Rickettsiosis due to Ehrlichia sennetsu","Rickettsiosis due to Ehrlichia sennetsu","A79.81
Rickettsiosis due to Ehrlichia sennetsu",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1584,"Other specified rickettsioses","Other specified rickettsioses","A79.89
Other specified rickettsioses",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1585,"Rickettsiosis, unspecified","Rickettsiosis, unspecified","Rickettsiosis, unspecified
A79.9",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1586,"Acute paralytic poliomyelitis, vaccine-associated","Acute paralytic poliomyelitis, vaccine-associated","Acute paralytic poliomyelitis, vaccine-associated
A80.0",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1587,"Acute paralytic poliomyelitis, wild virus, imported","Acute paralytic poliomyelitis, wild virus, imported","Acute paralytic poliomyelitis, wild virus, imported
A80.1",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1588,"Acute paralytic poliomyelitis, wild virus, indigenous","Acute paralytic poliomyelitis, wild virus, indigenous","Acute paralytic poliomyelitis, wild virus, indigenous
A80.2",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1589,"Acute paralytic poliomyelitis, unspecified","Acute paralytic poliomyelitis, unspecified","A80.30
Acute paralytic poliomyelitis, unspecified",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1590,"Other acute paralytic poliomyelitis","Other acute paralytic poliomyelitis","A80.39
Other acute paralytic poliomyelitis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1591,"Acute nonparalytic poliomyelitis","Acute nonparalytic poliomyelitis","A80.4
Acute nonparalytic poliomyelitis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1592,"Acute poliomyelitis, unspecified","Acute poliomyelitis, unspecified","Acute poliomyelitis, unspecified
A80.9",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1593,"Creutzfeldt-Jakob disease, unspecified","Creutzfeldt-Jakob disease, unspecified","Creutzfeldt-Jakob disease, unspecified
A81.00",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1594,"Variant Creutzfeldt-Jakob disease","Variant Creutzfeldt-Jakob disease","Variant Creutzfeldt-Jakob disease
A81.01",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1595,"Other Creutzfeldt-Jakob disease","Other Creutzfeldt-Jakob disease","A81.09
Other Creutzfeldt-Jakob disease",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1596,"Subacute sclerosing panencephalitis","Subacute sclerosing panencephalitis","A81.1
Subacute sclerosing panencephalitis",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1597,"Progressive multifocal leukoencephalopathy","Progressive multifocal leukoencephalopathy","A81.2
Progressive multifocal leukoencephalopathy",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1598,"Kuru","Kuru","A81.81
Kuru",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1599,"Gerstmann-Str�_ussler-Scheinker syndrome","Gerstmann-Str�_ussler-Scheinker syndrome","A81.82
Gerstmann-Str�_ussler-Scheinker syndrome",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
1600,"Fatal familial insomnia","Fatal familial insomnia","A81.83
Fatal familial insomnia",,,"Symptom/Finding","N/A",,"Aldren Bautista Gonzales"
